Designator,Mid X,Mid Y,Layer,Rotation
C1,375.392636mm,-113.6mm,Bottom,0
C2,399.922636mm,-182.44mm,Bottom,90
C3,392.052636mm,-182.4mm,Bottom,90
C4,380.532636mm,-127.34mm,Bottom,0
C5,385.792636mm,-154.37mm,Bottom,0
C6,386.872636mm,-182.97mm,Bottom,0
C7,386.872636mm,-185.65mm,Bottom,0
C8,395.322636mm,-163.07mm,Bottom,0
C9,395.322636mm,-165.91mm,Bottom,0
C10,395.062636mm,-126.79mm,Bottom,180
C11,395.022636mm,-123.05mm,Bottom,180
C12,390.412636mm,-126.86mm,Bottom,0
C13,392.572636mm,-129.57mm,Bottom,90
C14,390.502636mm,-122.92mm,Bottom,0
C15,394.942636mm,-119.26mm,Bottom,180
C16,390.502636mm,-119.08mm,Bottom,0
D3,520.447636mm,-103.325mm,Bottom,90
D4,520.135137mm,-126.97mm,Bottom,90
D5,521.362636mm,-146.35mm,Bottom,90
D6,523.310136mm,-165.07mm,Bottom,90
D7,530.453886mm,-203.17mm,Bottom,90
D8,501.085137mm,-126.97mm,Bottom,90
D9,520.928886mm,-184.12mm,Bottom,90
D10,506.641386mm,-203.17mm,Bottom,90
D11,474.816317mm,-102.402499mm,Bottom,102
D12,482.035138mm,-124.90625mm,Bottom,90
D13,497.116386mm,-146.02mm,Bottom,90
D14,497.116386mm,-165.07mm,Bottom,90
D15,489.972636mm,-184.12mm,Bottom,90
D16,456.208782mm,-106.38488mm,Bottom,102
D17,462.400145mm,-128.071531mm,Bottom,102
D18,475.551794mm,-144.665308mm,Bottom,102
D19,474.210028mm,-164.391781mm,Bottom,102
D20,468.882636mm,-185.1mm,Bottom,102
D21,470.514141mm,-204.228801mm,Bottom,102
D22,437.575071mm,-110.345598mm,Bottom,102
D23,443.427863mm,-131.930416mm,Bottom,102
D24,456.918078mm,-148.626028mm,Bottom,102
D25,455.576317mm,-168.352499mm,Bottom,102
D26,450.248926mm,-189.060717mm,Bottom,102
D27,418.941359mm,-114.306316mm,Bottom,102
D28,424.65721mm,-135.920242mm,Bottom,102
D29,438.284368mm,-152.586744mm,Bottom,102
D30,436.942602mm,-172.313216mm,Bottom,102
D31,431.615213mm,-193.021436mm,Bottom,102
D32,437.905148mm,-211.160058mm,Bottom,102
D33,406.023498mm,-139.880959mm,Bottom,102
D34,419.650657mm,-156.547463mm,Bottom,102
D35,418.308892mm,-176.273934mm,Bottom,102
D36,412.981502mm,-196.982152mm,Bottom,102
D37,407.625364mm,-217.596223mm,Bottom,102
D38,372.615642mm,-117.861691mm,Bottom,78
D39,368.393367mm,-138.874256mm,Bottom,78
D40,373.749505mm,-159.488327mm,Bottom,78
D41,365.13036mm,-177.131859mm,Bottom,78
D42,351.852787mm,-193.785212mm,Bottom,78
D43,353.98193mm,-113.900974mm,Bottom,78
D44,349.759655mm,-134.913538mm,Bottom,78
D45,355.115794mm,-155.527609mm,Bottom,78
D46,346.496648mm,-173.171141mm,Bottom,78
D47,333.219075mm,-189.824495mm,Bottom,78
D48,375.842636mm,-218.36mm,Bottom,78
D49,335.348218mm,-109.940256mm,Bottom,78
D50,331.125944mm,-130.952821mm,Bottom,78
D51,336.482082mm,-151.566891mm,Bottom,78
D52,327.862936mm,-169.210424mm,Bottom,78
D53,314.585364mm,-185.863777mm,Bottom,78
D54,345.646037mm,-211.979008mm,Bottom,78
D55,316.948039mm,-106.029177mm,Bottom,78
D56,312.492232mm,-126.992103mm,Bottom,78
D57,317.84837mm,-147.606174mm,Bottom,78
D58,309.229224mm,-165.249706mm,Bottom,78
D59,290.135136mm,-180.25mm,Bottom,90
D60,312.946037mm,-204.969008mm,Bottom,78
D61,280.610136mm,-101.66875mm,Bottom,90
D62,290.135136mm,-123.1mm,Bottom,90
D63,294.897636mm,-142.15mm,Bottom,90
D64,285.372636mm,-161.2mm,Bottom,90
D65,271.085136mm,-180.25mm,Bottom,90
D66,268.703886mm,-199.3mm,Bottom,90
D67,261.560136mm,-101.66875mm,Bottom,90
D68,271.085136mm,-123.1mm,Bottom,90
D69,275.847636mm,-142.15mm,Bottom,90
D70,266.322636mm,-161.2mm,Bottom,90
D71,242.510136mm,-101.66875mm,Bottom,90
D72,256.797636mm,-142.15mm,Bottom,90
D73,235.366386mm,-161.2mm,Bottom,90
D74,235.366386mm,-180.25mm,Bottom,90
D75,244.891386mm,-199.3mm,Bottom,90
D76,223.460136mm,-101.66875mm,Bottom,90
D77,242.510136mm,-123.1mm,Bottom,90
D78,232.985136mm,-142.15mm,Bottom,90
D79,221.078886mm,-199.3mm,Bottom,90
D80,195.142636mm,-100.684903mm,Bottom,90
D81,195.142636mm,-123.09mm,Bottom,90
D82,195.142636mm,-142.14mm,Bottom,90
D83,195.202636mm,-199.54mm,Bottom,90
D84,176.092636mm,-100.684903mm,Bottom,90
D85,176.092636mm,-123.09mm,Bottom,90
D86,176.092636mm,-142.14mm,Bottom,90
D87,176.152636mm,-180.49mm,Bottom,90
D88,176.152636mm,-199.54mm,Bottom,90
D89,157.042636mm,-100.684903mm,Bottom,90
D90,157.042636mm,-123.09mm,Bottom,90
D91,157.042636mm,-142.14mm,Bottom,90
D92,157.102636mm,-199.54mm,Bottom,90
D93,132.847636mm,-123.82mm,Bottom,90
D94,132.847636mm,-142.87mm,Bottom,90
D95,132.847636mm,-161.92mm,Bottom,90
D96,132.847636mm,-180.97mm,Bottom,90
D97,123.322636mm,-200.02mm,Bottom,90
D98,113.797636mm,-123.82mm,Bottom,90
D99,113.797636mm,-142.87mm,Bottom,90
D100,113.797636mm,-161.92mm,Bottom,90
D101,113.797636mm,-180.97mm,Bottom,90
D102,94.747636mm,-142.87mm,Bottom,90
D103,94.747636mm,-123.84mm,Bottom,90
D104,94.747636mm,-161.92mm,Bottom,90
D105,94.747636mm,-180.97mm,Bottom,90
D106,94.747636mm,-200.02mm,Bottom,90
D107,75.697636mm,-123.84mm,Bottom,90
D108,75.697636mm,-152.395mm,Bottom,90
D109,75.697636mm,-190.495mm,Bottom,90
D110,370.486498mm,-197.74593mm,Bottom,78
J1,386.392636mm,-94.845mm,Bottom,180
R1,374.862636mm,-167.43mm,Bottom,90
R2,381.732636mm,-168.21mm,Bottom,180
R3,392.512636mm,-179.28mm,Bottom,180
R4,390.982636mm,-159.44mm,Bottom,90
R5,393.042636mm,-159.45mm,Bottom,90
SW1,371.862636mm,-166.05mm,Bottom,90
SW2,398.322636mm,-178.16mm,Bottom,0
U1,378.482636mm,-120.95mm,Bottom,-90
U2,381.922636mm,-159.83mm,Bottom,0
U3,390.842636mm,-172.32mm,Bottom,0
Y1,395.702636mm,-182.39mm,Bottom,-90